Clinic_Postcode,Site Name
200,Bowral
221,Bowral
1001,Bondi Junction
1002,Bondi Junction
1003,Bondi Junction
1004,Bondi Junction
1005,Bondi Junction
1006,Bondi Junction
1007,Bondi Junction
1008,Bondi Junction
1009,Bondi Junction
1010,Bondi Junction
1011,Bondi Junction
1020,Bondi Junction
1021,Bondi Junction
1022,Bondi Junction
1023,Bondi Junction
1025,Bondi Junction
1026,Bondi Junction
1027,Bondi Junction
1028,Bondi Junction
1029,Bondi Junction
1030,Bondi Junction
1031,Bondi Junction
1032,Bondi Junction
1033,Bondi Junction
1034,Bondi Junction
1035,Bondi Junction
1036,Bondi Junction
1037,Bondi Junction
1038,Bondi Junction
1039,Bondi Junction
1040,Bondi Junction
1041,Bondi Junction
1042,Bondi Junction
1043,Bondi Junction
1044,Bondi Junction
1045,Bondi Junction
1046,Bondi Junction
1100,Bondi Junction
1101,Bondi Junction
1105,Bondi Junction
1106,Bondi Junction
1107,Bondi Junction
1108,Bondi Junction
1109,Bondi Junction
1110,Bondi Junction
1112,Bondi Junction
1113,Bondi Junction
1114,Bondi Junction
1115,Bondi Junction
1116,Bondi Junction
1117,Bondi Junction
1118,Bondi Junction
1119,Bondi Junction
1120,Bondi Junction
1121,Bondi Junction
1122,Bondi Junction
1123,Bondi Junction
1124,Bondi Junction
1125,Bondi Junction
1126,Bondi Junction
1127,Bondi Junction
1128,Bondi Junction
1129,Bondi Junction
1130,Bondi Junction
1131,Bondi Junction
1132,Bondi Junction
1133,Bondi Junction
1134,Bondi Junction
1135,Bondi Junction
1136,Bondi Junction
1137,Bondi Junction
1138,Bondi Junction
1139,Bondi Junction
1140,Bondi Junction
1141,Bondi Junction
1142,Bondi Junction
1143,Bondi Junction
1144,Bondi Junction
1145,Bondi Junction
1146,Bondi Junction
1147,Bondi Junction
1148,Bondi Junction
1149,Bondi Junction
1150,Bondi Junction
1151,Bondi Junction
1152,Bondi Junction
1153,Bondi Junction
1154,Bondi Junction
1155,Bondi Junction
1156,Bondi Junction
1157,Bondi Junction
1158,Bondi Junction
1159,Bondi Junction
1160,Bondi Junction
1161,Bondi Junction
1162,Bondi Junction
1163,Bondi Junction
1164,Bondi Junction
1165,Bondi Junction
1166,Bondi Junction
1167,Bondi Junction
1168,Bondi Junction
1169,Bondi Junction
1170,Bondi Junction
1171,Bondi Junction
1172,Bondi Junction
1173,Bondi Junction
1174,Bondi Junction
1175,Bondi Junction
1176,Bondi Junction
1177,Bondi Junction
1178,Bondi Junction
1179,Bondi Junction
1180,Bondi Junction
1181,Bondi Junction
1182,Bondi Junction
1183,Bondi Junction
1184,Bondi Junction
1185,Bondi Junction
1186,Bondi Junction
1187,Bondi Junction
1188,Bondi Junction
1189,Bondi Junction
1190,Bondi Junction
1191,Bondi Junction
1192,Bondi Junction
1193,Bondi Junction
1194,Bondi Junction
1195,Bondi Junction
1196,Bondi Junction
1197,Bondi Junction
1198,Bondi Junction
1199,Bondi Junction
1200,Bondi Junction
1201,Bondi Junction
1202,Bondi Junction
1203,Bondi Junction
1204,Bondi Junction
1205,Bondi Junction
1206,Bondi Junction
1207,Bondi Junction
1208,Bondi Junction
1209,Bondi Junction
1210,Bondi Junction
1211,Bondi Junction
1212,Bondi Junction
1213,Bondi Junction
1214,Bondi Junction
1215,Bondi Junction
1216,Bondi Junction
1217,Bondi Junction
1218,Bondi Junction
1219,Bondi Junction
1220,Bondi Junction
1221,Bondi Junction
1222,Bondi Junction
1223,Bondi Junction
1224,Bondi Junction
1225,Bondi Junction
1226,Bondi Junction
1227,Bondi Junction
1228,Bondi Junction
1229,Bondi Junction
1230,Bondi Junction
1231,Bondi Junction
1232,Bondi Junction
1233,Bondi Junction
1234,Bondi Junction
1235,Bondi Junction
1236,Bondi Junction
1237,Bondi Junction
1238,Bondi Junction
1239,Bondi Junction
1240,Bondi Junction
1291,Bondi Junction
1292,Bondi Junction
1293,Bondi Junction
1294,Bondi Junction
1295,Bondi Junction
1296,Bondi Junction
1297,Bondi Junction
1298,Bondi Junction
1299,Bondi Junction
1300,Bondi Junction
1311,Bondi Junction
1312,Bondi Junction
1313,Bondi Junction
1314,Bondi Junction
1315,Bondi Junction
1316,Bondi Junction
1317,Bondi Junction
1318,Bondi Junction
1319,Bondi Junction
1320,Bondi Junction
1321,Bondi Junction
